[00:00:00.000] (7f90540e5bc0) INFO   Creating song: MagicalWonderland
[00:00:00.001] (7f90540e5bc0) INFO   Creating song: WhatSong
[00:00:00.001] (7f90540e5bc0) INFO   Creating song: WhatSong1
[00:00:00.001] (7f90540e5bc0) INFO   Creating song: WhatSong2
[00:00:00.001] (7f90540e5bc0) INFO   Creating song: WhatSong3
[00:00:00.002] (7f90540e5bc0) INFO   Creating song: WhatSong4
[00:00:00.002] (7f90540e5bc0) INFO   Creating song: WhatSong5
[00:00:00.002] (7f90540e5bc0) INFO   Creating song: WhatSong6
[00:00:00.002] (7f90540e5bc0) INFO   Creating song: WhatSong7
[00:00:00.003] (7f90540e5bc0) INFO   Creating song: WhatSong8
[00:00:00.003] (7f90540e5bc0) INFO   Creating song: WhatSong9
[00:00:00.003] (7f90540e5bc0) INFO   Creating song: WhatSongA
[00:00:00.004] (7f90540e5bc0) INFO   Creating song: WhatSongB
